ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Guthrie,Hist-Groups,G-code,L-code,Language,missing,orig-Longitude,orig-Latitude
E_Cho,E_Cho,,-6.518,38.672,chon1287,,E,East-Coastal,E72c,E-Cho,Choni,9,-3.8,39.8
E_Rab,E_Rab,,,,raba1248,,E,East-Coastal,E72e,E-Rab,Rabai,10,-3.3,39.8
E_Di1,E_Di1,,-4.62101,39.1752,digo1243,,E,East-Coastal,E73,E-Di1,Digo,9,-4.3,39.2
E_Seg,E_Seg,,-5.00659,39.12249,sege1246,,E,East-Coastal,E73,E-Seg,Segeju,11,-4.8,39.2
E_Daw,E_Daw,,-3.79347,38.57254,tait1250,,E,East-Coastal,E74a,E-Daw,Dawida,10,-3.1,38
E_Sag,E_Sag,,-6.98537,36.9153,saga1256,,E,East-Coastal,E74b,E-Sag,Sagala,11,-6.9,36.3
F_Suk,F_Suk,,-3.16082,32.8765,suku1261,,F,East-Coastal,F21,F-Suk,Sukuma,18,-3,33
F_Nya,F_Nya,,-5.08559,32.94452,nyam1276,,F,East-Coastal,F22,F-Nya,Nyamwezi,0,-4.3,33.2
F_Sum,F_Sum,,-3.47335,31.9457,sumb1240,,F,East-Coastal,F23,F-Sum,Sumbwa,0,-3.9,32.8
F_Nyi,F_Nyi,,-4.50002,34.3068,nila1242,,F,East-Coastal,F31,F-Nyi,Nyiramba,10,-5,34.7
G_Gog,G_Gog,,-6.35951,35.4807,gogo1263,,G,East-Coastal,G11,G-Gog,Gogo,10,-6.3,35.7
G_Kag,G_Kag,,-6.38204,37.0534,kagu1239,,G,East-Coastal,G12,G-Kag,Kaguru,10,-6.3,37
G_Tav,G_Tav,,-3.41822,37.7061,tave1240,,G,East-Coastal,G21,G-Tav,Taveta,12,-3.4,37.8
G_Cas,G_Cas,,-4.17978,37.8323,asut1235,,G,East-Coastal,G22,G-Cas,Casu,6,-4.2,37.8
G_Par,G_Par,,,,,,G,East-Coastal,G22,G-Par,Pare,1,-4.5,38
G_Sha,G_Sha,,-4.8,38.29,sham1280,,G,East-Coastal,G23,G-Sha,Shambala,9,-4.9,38.3
